consumo_kwh,cantidad_equipos,horas_alto_consumo,tipo_inmueble,uso_horario_pico,numero_habitantes,antiguedad_inmueble,calefaccion,aire_acondicionado,categoria
1128,13,2,Casa,True,6,44,True,False,Moderado
1500,12,9,Local,True,4,46,False,True,Ineficiente
1348,6,6,Oficina,True,1,26,True,False,Moderado
241,19,10,Apartamento,False,3,11,True,False,Moderado
546,20,3,Apartamento,False,3,12,False,False,Eficiente
410,24,10,Oficina,False,6,7,False,False,Moderado
200,24,13,Casa,True,4,15,True,False,Moderado
951,7,15,Apartamento,False,4,28,False,False,Ineficiente
273,23,9,Apartamento,True,4,34,False,True,Moderado
1103,19,10,Casa,False,2,28,False,True,Moderado
423,7,5,Local,True,1,30,False,False,Moderado
1380,5,2,Oficina,True,3,12,True,True,Moderado
465,13,2,Local,True,1,11,False,False,Eficiente
1035,20,6,Casa,False,1,50,False,False,Moderado
356,3,3,Casa,False,1,1,False,False,Moderado
700,18,15,Apartamento,True,4,32,False,True,Moderado
131,12,9,Casa,True,6,7,False,True,Moderado
398,12,11,Apartamento,False,6,40,True,False,Moderado
827,22,12,Apartamento,False,4,39,False,False,Moderado
936,17,6,Apartamento,False,3,48,False,False,Moderado
720,3,6,Apartamento,True,3,40,False,True,Moderado
1162,3,3,Apartamento,True,3,31,False,False,Moderado
920,24,8,Casa,False,6,37,True,True,Moderado
1012,9,14,Casa,True,6,27,False,True,Ineficiente
1371,14,9,Apartamento,True,1,14,False,True,Ineficiente
322,11,11,Apartamento,False,4,22,True,False,Moderado
1348,9,14,Local,False,2,23,False,True,Ineficiente
995,5,2,Local,True,1,12,False,True,Moderado
1348,16,3,Oficina,False,5,20,False,True,Moderado
770,2,11,Casa,False,6,11,True,False,Ineficiente
911,12,5,Casa,True,1,12,False,False,Moderado
1132,8,6,Casa,True,4,38,True,True,Moderado
100,18,14,Local,False,5,22,False,False,Moderado
1104,21,3,Apartamento,False,1,49,True,False,Moderado
383,19,2,Local,False,4,45,True,True,Eficiente
728,23,10,Apartamento,False,4,42,True,True,Moderado
816,23,15,Oficina,True,6,27,True,False,Moderado
513,13,2,Oficina,False,2,13,False,True,Eficiente
120,10,14,Casa,True,1,16,False,True,Moderado
321,6,5,Apartamento,False,4,23,False,False,Moderado
856,11,3,Apartamento,False,3,33,False,False,Moderado
644,5,12,Casa,False,4,50,False,False,Ineficiente
977,6,5,Apartamento,False,2,47,False,False,Moderado
171,11,9,Apartamento,False,4,21,False,False,Moderado
1500,12,9,Casa,True,6,9,True,True,Ineficiente
764,22,12,Apartamento,False,1,7,False,True,Moderado
855,11,13,Apartamento,True,6,20,False,False,Ineficiente
114,9,10,Casa,False,1,36,False,False,Moderado
285,3,14,Apartamento,True,5,6,False,False,Ineficiente
1500,24,12,Casa,True,1,25,True,True,Moderado
1436,9,13,Local,False,5,12,False,True,Ineficiente
1431,17,6,Casa,False,6,15,False,True,Moderado
645,23,8,Oficina,True,3,29,False,False,Moderado
1016,6,4,Apartamento,False,2,30,False,True,Moderado
481,4,11,Casa,False,3,4,False,False,Ineficiente
970,13,5,Apartamento,False,5,31,True,False,Moderado
375,14,11,Apartamento,False,4,15,True,True,Moderado
365,14,10,Apartamento,False,4,46,False,True,Moderado
1397,11,11,Apartamento,False,3,8,False,True,Ineficiente
453,5,11,Apartamento,True,4,21,False,True,Ineficiente
1163,10,15,Casa,False,5,43,False,True,Ineficiente
695,23,13,Casa,False,6,39,False,True,Moderado
1315,24,2,Local,False,2,44,True,False,Moderado
375,3,3,Apartamento,True,1,36,False,False,Moderado
1246,20,6,Casa,True,5,13,True,True,Moderado
500,2,4,Local,False,5,15,True,False,Moderado
958,8,3,Casa,True,1,42,False,False,Moderado
1156,18,2,Local,False,1,19,False,False,Moderado
1132,4,11,Casa,True,2,43,False,True,Ineficiente
355,21,4,Casa,True,2,14,True,False,Moderado
843,21,2,Oficina,True,2,43,False,False,Eficiente
320,22,13,Casa,False,4,25,True,False,Moderado
459,4,2,Local,True,5,8,False,False,Moderado
892,4,13,Casa,False,6,0,True,True,Ineficiente
1144,18,2,Apartamento,False,1,34,False,False,Moderado
112,8,9,Oficina,False,5,43,True,False,Moderado
172,15,4,Casa,False,5,19,True,False,Moderado
600,18,12,Local,True,2,44,False,False,Moderado
1134,19,2,Apartamento,True,2,5,True,True,Moderado
